split,subject,accuracy,f1,model,ITR_bits_per_min
within,1,0.7,0.707317073,CSP+LDA,1.58278801
within,2,0.5125,0.465753425,CSP+LDA,0.006011856
within,3,0.55,0.56097561,CSP+LDA,0.096340613
within,4,0.857142857,0.853658537,CSP+LDA,5.444362952
within,5,0.666666667,0.621621622,CSP+LDA,1.089388879
within,6,0.6625,0.682352941,CSP+LDA,1.034583177
within,7,0.6,0.578947368,CSP+LDA,0.387325407
within,8,0.659090909,0.693877551,CSP+LDA,0.990853507
within,9,0.6625,0.666666667,CSP+LDA,1.034583177
cross,1,0.6375,0.72061657,CSP+LDA,0.736815618
cross,2,0.5625,0.509803922,CSP+LDA,0.150674556
cross,3,0.555,0.467065868,CSP+LDA,0.116613238
cross,4,0.638095238,0.437037037,CSP+LDA,0.743294212
cross,5,0.704761905,0.739495798,CSP+LDA,1.661441946
cross,6,0.6325,0.487804878,CSP+LDA,0.683557773
cross,7,0.6425,0.622691293,CSP+LDA,0.79215448
cross,8,0.588636364,0.695798319,CSP+LDA,0.303853882
cross,9,0.68,0.72173913,CSP+LDA,1.274913897
within,1,0.5875,0.352941176,EEGNet,0.296072396
within,2,0.5375,0.543209877,EEGNet,0.054151898
within,3,0.6625,0.682352941,EEGNet,1.034583177
within,4,0.952380952,0.95,EEGNet,9.650727631
within,5,0.773809524,0.724637681,EEGNet,3.049185252
within,6,0.675,0.723404255,EEGNet,1.203518366
within,7,0.775,0.742857143,EEGNet,3.077428946
within,8,0.772727273,0.756097561,EEGNet,3.023644343
within,9,0.725,0.738095238,EEGNet,2.019357623
cross,1,0.7775,0.796338673,EEGNet,3.137250299
cross,2,0.61,0.465753425,EEGNet,0.469339353
cross,3,0.5775,0.666666667,EEGNet,0.232005913
cross,4,0.738095238,0.64516129,EEGNet,2.271905292
cross,5,0.716666667,0.756646217,EEGNet,1.86729267
cross,6,0.7175,0.638977636,EEGNet,1.88220116
cross,7,0.7475,0.769931663,EEGNet,2.463779481
cross,8,0.688636364,0.744878957,EEGNet,1.403449649
cross,9,0.715,0.753246753,EEGNet,1.837672934
within,1,0.8375,0.839506173,ShallowConvNet,4.796574084
within,2,0.6125,0.626506024,ShallowConvNet,0.491103399
within,3,0.55,0.470588235,ShallowConvNet,0.096340613
within,4,0.964285714,0.965517241,ShallowConvNet,10.36953559
within,5,0.761904762,0.714285714,ShallowConvNet,2.775221966
within,6,0.7625,0.781609195,ShallowConvNet,2.788558793
within,7,0.725,0.725,ShallowConvNet,2.019357623
within,8,0.852272727,0.860215054,ShallowConvNet,5.278353891
within,9,0.775,0.780487805,ShallowConvNet,3.077428946
cross,1,0.6175,0.710775047,ShallowConvNet,0.536152341
cross,2,0.575,0.662698413,ShallowConvNet,0.217223165
cross,3,0.5275,0.655737705,ShallowConvNet,0.029109036
cross,4,0.835714286,0.808864266,ShallowConvNet,4.740473791
cross,5,0.702380952,0.748490946,ShallowConvNet,1.62185415
cross,6,0.6425,0.54313099,ShallowConvNet,0.79215448
cross,7,0.58,0.353846154,ShallowConvNet,0.2472814
cross,8,0.677272727,0.731060606,ShallowConvNet,1.235698064
cross,9,0.7525,0.772413793,ShallowConvNet,2.569445073
within,1,0.7125,0.684931507,Transformer,1.793734701
within,2,0.575,0.413793103,Transformer,0.217223165
within,3,0.45,0.333333333,Transformer,0.096340613
within,4,0.869047619,0.86746988,Transformer,5.866075729
within,5,0.595238095,0.527777778,Transformer,0.351092473
within,6,0.6875,0.698795181,Transformer,1.3861569
within,7,0.625,0.666666667,Transformer,0.607546628
within,8,0.75,0.760869565,Transformer,2.516291674
within,9,0.7,0.657142857,Transformer,1.58278801
cross,1,0.5925,0.643326039,Transformer,0.331078774
cross,2,0.535,0.604255319,Transformer,0.047166602
cross,3,0.53,0.594827586,Transformer,0.034645486
cross,4,0.669047619,0.52559727,Transformer,1.121380561
cross,5,0.611904762,0.638580931,Transformer,0.485875583
cross,6,0.605,0.529761905,Transformer,0.427326191
cross,7,0.6175,0.645011601,Transformer,0.536152341
cross,8,0.559090909,0.671186441,Transformer,0.134648053
cross,9,0.615,0.586021505,Transformer,0.513373989
