augmentation,subject,accuracy
none,1,0.7475
none,2,0.6
none,3,0.55
none,4,0.7238095238095238
none,5,0.7
none,6,0.7025
none,7,0.7525
none,8,0.6886363636363636
none,9,0.74
time_shift,1,0.7975
time_shift,2,0.6025
time_shift,3,0.5275
time_shift,4,0.7476190476190476
time_shift,5,0.7333333333333333
time_shift,6,0.7075
time_shift,7,0.7575
time_shift,8,0.6727272727272727
time_shift,9,0.7225
gaussian_noise,1,0.7875
gaussian_noise,2,0.6425
gaussian_noise,3,0.5375
gaussian_noise,4,0.7428571428571429
gaussian_noise,5,0.7309523809523809
gaussian_noise,6,0.7275
gaussian_noise,7,0.7575
gaussian_noise,8,0.6863636363636364
gaussian_noise,9,0.7125
freq_mask,1,0.75
freq_mask,2,0.6325
freq_mask,3,0.54
freq_mask,4,0.7380952380952381
freq_mask,5,0.7404761904761905
freq_mask,6,0.7525
freq_mask,7,0.7625
freq_mask,8,0.6636363636363637
freq_mask,9,0.74
all,1,0.7225
all,2,0.6125
all,3,0.5625
all,4,0.7333333333333333
all,5,0.7119047619047619
all,6,0.67
all,7,0.765
all,8,0.6659090909090909
all,9,0.7675
