model,seed,subject,split,TP,TN,FP,FN,accuracy,macro_f1,sensitivity,specificity
EEGNet,42,1,within,3,77,3,77,0.5,0.0698,0.0375,0.9625
EEGNet,42,2,within,50,25,55,30,0.4688,0.5405,0.625,0.3125
EEGNet,42,3,within,35,54,26,45,0.5563,0.4965,0.4375,0.675
EEGNet,42,4,within,60,80,0,20,0.875,0.8571,0.75,1.0
EEGNet,42,5,within,27,57,23,53,0.525,0.4154,0.3375,0.7125
EEGNet,42,6,within,5,79,1,75,0.525,0.1163,0.0625,0.9875
EEGNet,42,7,within,19,60,20,61,0.4938,0.3193,0.2375,0.75
EEGNet,42,8,within,35,80,0,45,0.7188,0.6087,0.4375,1.0
EEGNet,42,9,within,28,62,18,52,0.5625,0.4444,0.35,0.775
EEGNet,0,1,within,5,78,2,75,0.5188,0.1149,0.0625,0.975
EEGNet,0,2,within,20,58,22,60,0.4875,0.3279,0.25,0.725
EEGNet,0,3,within,24,54,26,56,0.4875,0.3692,0.3,0.675
EEGNet,0,4,within,36,80,0,44,0.725,0.6207,0.45,1.0
EEGNet,0,5,within,47,21,59,33,0.425,0.5054,0.5875,0.2625
EEGNet,0,6,within,19,58,22,61,0.4813,0.314,0.2375,0.725
EEGNet,0,7,within,15,74,6,65,0.5563,0.297,0.1875,0.925
EEGNet,0,8,within,33,73,7,47,0.6625,0.55,0.4125,0.9125
EEGNet,0,9,within,60,26,54,20,0.5375,0.6186,0.75,0.325
EEGNet,1,1,within,4,80,0,76,0.525,0.0952,0.05,1.0
EEGNet,1,2,within,14,57,23,66,0.4437,0.2393,0.175,0.7125
EEGNet,1,3,within,4,73,7,76,0.4813,0.0879,0.05,0.9125
EEGNet,1,4,within,73,80,0,7,0.9563,0.9542,0.9125,1.0
EEGNet,1,5,within,34,43,37,46,0.4813,0.4503,0.425,0.5375
EEGNet,1,6,within,47,63,17,33,0.6875,0.6528,0.5875,0.7875
EEGNet,1,7,within,16,72,8,64,0.55,0.3077,0.2,0.9
EEGNet,1,8,within,59,70,10,21,0.8063,0.7919,0.7375,0.875
EEGNet,1,9,within,66,17,63,14,0.5188,0.6316,0.825,0.2125
EEGNet,2,1,within,30,45,35,50,0.4688,0.4138,0.375,0.5625
EEGNet,2,2,within,1,80,0,79,0.5062,0.0247,0.0125,1.0
EEGNet,2,3,within,49,39,41,31,0.55,0.5765,0.6125,0.4875
EEGNet,2,4,within,63,38,42,17,0.6312,0.6811,0.7875,0.475
EEGNet,2,5,within,40,41,39,40,0.5062,0.5031,0.5,0.5125
EEGNet,2,6,within,33,51,29,47,0.525,0.4648,0.4125,0.6375
EEGNet,2,7,within,18,73,7,62,0.5687,0.3429,0.225,0.9125
EEGNet,2,8,within,23,80,0,57,0.6438,0.4466,0.2875,1.0
EEGNet,2,9,within,79,3,77,1,0.5125,0.6695,0.9875,0.0375
EEGNet,3,1,within,73,4,76,7,0.4813,0.6376,0.9125,0.05
EEGNet,3,2,within,22,53,27,58,0.4688,0.3411,0.275,0.6625
EEGNet,3,3,within,40,47,33,40,0.5437,0.5229,0.5,0.5875
EEGNet,3,4,within,72,77,3,8,0.9313,0.929,0.9,0.9625
EEGNet,3,5,within,16,58,22,64,0.4625,0.2712,0.2,0.725
