split,subject,accuracy,f1
within,1,0.7,0.7073170731707317
within,2,0.5125,0.4657534246575342
within,3,0.55,0.5609756097560976
within,4,0.8571428571428571,0.8536585365853658
within,5,0.6666666666666666,0.6216216216216216
within,6,0.6625,0.6823529411764706
within,7,0.6,0.5789473684210527
within,8,0.6590909090909091,0.6938775510204082
within,9,0.6625,0.6666666666666666
cross,1,0.6375,0.720616570327553
cross,2,0.5625,0.5098039215686274
cross,3,0.555,0.46706586826347307
cross,4,0.638095238095238,0.43703703703703706
cross,5,0.7047619047619048,0.7394957983193278
cross,6,0.6325,0.4878048780487805
cross,7,0.6425,0.6226912928759895
cross,8,0.5886363636363636,0.6957983193277311
cross,9,0.68,0.7217391304347827
