model,split,subject,accuracy,f1
EEGNet,within,1,0.5875,0.352941176
EEGNet,within,2,0.5375,0.543209877
EEGNet,within,3,0.6625,0.682352941
EEGNet,within,4,0.952380952,0.95
EEGNet,within,5,0.773809524,0.724637681
EEGNet,within,6,0.675,0.723404255
EEGNet,within,7,0.775,0.742857143
EEGNet,within,8,0.772727273,0.756097561
EEGNet,within,9,0.725,0.738095238
EEGNet,cross,1,0.7775,0.796338673
EEGNet,cross,2,0.61,0.465753425
EEGNet,cross,3,0.5775,0.666666667
EEGNet,cross,4,0.738095238,0.64516129
EEGNet,cross,5,0.716666667,0.756646217
EEGNet,cross,6,0.7175,0.638977636
EEGNet,cross,7,0.7475,0.769931663
EEGNet,cross,8,0.688636364,0.744878957
EEGNet,cross,9,0.715,0.753246753
ShallowConvNet,within,1,0.8375,0.839506173
ShallowConvNet,within,2,0.6125,0.626506024
ShallowConvNet,within,3,0.55,0.470588235
ShallowConvNet,within,4,0.964285714,0.965517241
ShallowConvNet,within,5,0.761904762,0.714285714
ShallowConvNet,within,6,0.7625,0.781609195
ShallowConvNet,within,7,0.725,0.725
ShallowConvNet,within,8,0.852272727,0.860215054
ShallowConvNet,within,9,0.775,0.780487805
ShallowConvNet,cross,1,0.6175,0.710775047
ShallowConvNet,cross,2,0.575,0.662698413
ShallowConvNet,cross,3,0.5275,0.655737705
ShallowConvNet,cross,4,0.835714286,0.808864266
ShallowConvNet,cross,5,0.702380952,0.748490946
ShallowConvNet,cross,6,0.6425,0.54313099
ShallowConvNet,cross,7,0.58,0.353846154
ShallowConvNet,cross,8,0.677272727,0.731060606
ShallowConvNet,cross,9,0.7525,0.772413793
