model,subject,n_shots,zero_shot_acc,few_shot_acc,gain
EEGNet,1,10,0.74,0.7425,0.0025000000000000577
EEGNet,1,20,0.74,0.725,-0.015000000000000013
EEGNet,1,40,0.74,0.7425,0.0025000000000000577
EEGNet,1,80,0.74,0.805,0.06500000000000006
EEGNet,2,10,0.6475,0.64,-0.007499999999999951
EEGNet,2,20,0.6475,0.6575,0.010000000000000009
EEGNet,2,40,0.6475,0.6375,-0.010000000000000009
EEGNet,2,80,0.6475,0.6625,0.015000000000000013
EEGNet,3,10,0.59,0.5575,-0.03249999999999997
EEGNet,3,20,0.59,0.6075,0.01750000000000007
EEGNet,3,40,0.59,0.595,0.0050000000000000044
EEGNet,3,80,0.59,0.6175,0.02750000000000008
EEGNet,4,10,0.7452380952380953,0.8,0.05476190476190479
EEGNet,4,20,0.7452380952380953,0.7571428571428571,0.011904761904761862
EEGNet,4,40,0.7452380952380953,0.7690476190476191,0.023809523809523836
EEGNet,4,80,0.7452380952380953,0.75,0.004761904761904745
EEGNet,5,10,0.7142857142857143,0.7238095238095238,0.00952380952380949
EEGNet,5,20,0.7142857142857143,0.7380952380952381,0.023809523809523836
EEGNet,5,40,0.7142857142857143,0.7333333333333333,0.01904761904761898
EEGNet,5,80,0.7142857142857143,0.7333333333333333,0.01904761904761898
EEGNet,6,10,0.685,0.7175,0.03249999999999997
EEGNet,6,20,0.685,0.6775,-0.007500000000000062
EEGNet,6,40,0.685,0.745,0.05999999999999994
EEGNet,6,80,0.685,0.755,0.06999999999999995
EEGNet,7,10,0.77,0.7325,-0.03749999999999998
EEGNet,7,20,0.77,0.7725,0.0024999999999999467
EEGNet,7,40,0.77,0.765,-0.0050000000000000044
EEGNet,7,80,0.77,0.8075,0.03749999999999998
EEGNet,8,10,0.6704545454545454,0.6704545454545454,0.0
EEGNet,8,20,0.6704545454545454,0.6863636363636364,0.015909090909090984
EEGNet,8,40,0.6704545454545454,0.725,0.054545454545454564
EEGNet,8,80,0.6704545454545454,0.7227272727272728,0.05227272727272736
EEGNet,9,10,0.725,0.7275,0.0025000000000000577
EEGNet,9,20,0.725,0.7275,0.0025000000000000577
EEGNet,9,40,0.725,0.7225,-0.0024999999999999467
EEGNet,9,80,0.725,0.6775,-0.04749999999999999
ShallowConvNet,1,10,0.695,0.64,-0.05499999999999994
ShallowConvNet,1,20,0.695,0.7125,0.01750000000000007
ShallowConvNet,1,40,0.695,0.72,0.025000000000000022
ShallowConvNet,1,80,0.695,0.76,0.06500000000000006
ShallowConvNet,2,10,0.5675,0.56,-0.007499999999999951
ShallowConvNet,2,20,0.5675,0.565,-0.0025000000000000577
ShallowConvNet,2,40,0.5675,0.5875,0.020000000000000018
ShallowConvNet,2,80,0.5675,0.6725,0.10499999999999998
ShallowConvNet,3,10,0.535,0.535,0.0
ShallowConvNet,3,20,0.535,0.5775,0.04249999999999998
ShallowConvNet,3,40,0.535,0.5525,0.01749999999999996
ShallowConvNet,3,80,0.535,0.62,0.08499999999999996
ShallowConvNet,4,10,0.7380952380952381,0.7976190476190477,0.059523809523809534
ShallowConvNet,4,20,0.7380952380952381,0.8666666666666667,0.12857142857142856
ShallowConvNet,4,40,0.7380952380952381,0.8833333333333333,0.14523809523809517
ShallowConvNet,4,80,0.7380952380952381,0.9380952380952381,0.19999999999999996
ShallowConvNet,5,10,0.6642857142857143,0.6928571428571428,0.02857142857142858
ShallowConvNet,5,20,0.6642857142857143,0.7,0.0357142857142857
ShallowConvNet,5,40,0.6642857142857143,0.7142857142857143,0.050000000000000044
ShallowConvNet,5,80,0.6642857142857143,0.7952380952380952,0.13095238095238093
ShallowConvNet,6,10,0.67,0.6875,0.01749999999999996
ShallowConvNet,6,20,0.67,0.5975,-0.07250000000000001
ShallowConvNet,6,40,0.67,0.7425,0.07250000000000001
ShallowConvNet,6,80,0.67,0.7575,0.08749999999999991
ShallowConvNet,7,10,0.685,0.64,-0.04500000000000004
ShallowConvNet,7,20,0.685,0.675,-0.010000000000000009
ShallowConvNet,7,40,0.685,0.68,-0.0050000000000000044
ShallowConvNet,7,80,0.685,0.765,0.07999999999999996
ShallowConvNet,8,10,0.6636363636363637,0.7045454545454546,0.040909090909090895
ShallowConvNet,8,20,0.6636363636363637,0.7204545454545455,0.05681818181818177
ShallowConvNet,8,40,0.6636363636363637,0.6954545454545454,0.031818181818181746
ShallowConvNet,8,80,0.6636363636363637,0.7,0.036363636363636265
ShallowConvNet,9,10,0.73,0.695,-0.03500000000000003
ShallowConvNet,9,20,0.73,0.745,0.015000000000000013
ShallowConvNet,9,40,0.73,0.7325,0.0025000000000000577
ShallowConvNet,9,80,0.73,0.765,0.03500000000000003
