subject,noise_level,clean_acc,channel_noise_acc,electrode_shift_acc,drop_channel_noise,drop_electrode_shift
1,0.0,0.5125,0.5125,0.575,0.0,-0.0625
1,0.25,0.5125,0.5125,0.525,0.0,-0.012500000000000067
1,0.5,0.5125,0.5375,0.525,-0.025000000000000022,-0.012500000000000067
1,1.0,0.5125,0.55,0.55,-0.03750000000000009,-0.03750000000000009
1,2.0,0.5125,0.6,0.55,-0.08750000000000002,-0.03750000000000009
2,0.0,0.525,0.525,0.525,0.0,0.0
2,0.25,0.525,0.525,0.525,0.0,0.0
2,0.5,0.525,0.5375,0.525,-0.012499999999999956,0.0
2,1.0,0.525,0.5,0.5125,0.025000000000000022,0.012500000000000067
2,2.0,0.525,0.45,0.5125,0.07500000000000001,0.012500000000000067
3,0.0,0.5875,0.5875,0.65,0.0,-0.0625
3,0.25,0.5875,0.6,0.65,-0.012499999999999956,-0.0625
3,0.5,0.5875,0.6125,0.6125,-0.025000000000000022,-0.025000000000000022
3,1.0,0.5875,0.6,0.6125,-0.012499999999999956,-0.025000000000000022
3,2.0,0.5875,0.55,0.65,0.03749999999999998,-0.0625
4,0.0,0.5238095238095238,0.5238095238095238,0.5595238095238095,0.0,-0.0357142857142857
4,0.25,0.5238095238095238,0.5357142857142857,0.5595238095238095,-0.011904761904761862,-0.0357142857142857
4,0.5,0.5238095238095238,0.5238095238095238,0.5,0.0,0.023809523809523836
4,1.0,0.5238095238095238,0.5238095238095238,0.5595238095238095,0.0,-0.0357142857142857
4,2.0,0.5238095238095238,0.5,0.5595238095238095,0.023809523809523836,-0.0357142857142857
5,0.0,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.0,0.0
5,0.25,0.5476190476190477,0.5357142857142857,0.5357142857142857,0.011904761904761973,0.011904761904761973
5,0.5,0.5476190476190477,0.5238095238095238,0.5357142857142857,0.023809523809523836,0.011904761904761973
5,1.0,0.5476190476190477,0.5476190476190477,0.5714285714285714,0.0,-0.023809523809523725
5,2.0,0.5476190476190477,0.6309523809523809,0.5476190476190477,-0.08333333333333326,0.0
6,0.0,0.6125,0.6125,0.5625,0.0,0.050000000000000044
6,0.25,0.6125,0.65,0.5625,-0.03749999999999998,0.050000000000000044
6,0.5,0.6125,0.65,0.625,-0.03749999999999998,-0.012499999999999956
6,1.0,0.6125,0.525,0.5625,0.08750000000000002,0.050000000000000044
6,2.0,0.6125,0.4875,0.5625,0.12500000000000006,0.050000000000000044
7,0.0,0.725,0.725,0.75,0.0,-0.025000000000000022
7,0.25,0.725,0.7375,0.6625,-0.012500000000000067,0.0625
7,0.5,0.725,0.6625,0.75,0.0625,-0.025000000000000022
7,1.0,0.725,0.675,0.6625,0.04999999999999993,0.0625
7,2.0,0.725,0.5,0.5,0.22499999999999998,0.22499999999999998
8,0.0,0.7272727272727273,0.7272727272727273,0.6704545454545454,0.0,0.05681818181818188
8,0.25,0.7272727272727273,0.7159090909090909,0.7045454545454546,0.011363636363636354,0.022727272727272707
8,0.5,0.7272727272727273,0.7045454545454546,0.5,0.022727272727272707,0.2272727272727273
8,1.0,0.7272727272727273,0.6022727272727273,0.7045454545454546,0.125,0.022727272727272707
8,2.0,0.7272727272727273,0.5,0.7045454545454546,0.2272727272727273,0.022727272727272707
9,0.0,0.7,0.7,0.4875,0.0,0.21249999999999997
9,0.25,0.7,0.675,0.65,0.02499999999999991,0.04999999999999993
9,0.5,0.7,0.65,0.4875,0.04999999999999993,0.21249999999999997
9,1.0,0.7,0.6,0.7125,0.09999999999999998,-0.012500000000000067
9,2.0,0.7,0.5,0.4875,0.19999999999999996,0.21249999999999997
