comparison,metric,subject,policy_a_value,policy_b_value,difference
Policy A vs Policy B,success_rate,1,0.7188,0.8837,0.1649
Policy A vs Policy B,success_rate,2,0.5125,0.5692,0.0567
Policy A vs Policy B,success_rate,3,0.5,0.5094,0.0094
Policy A vs Policy B,success_rate,4,0.9938,1.0,0.0062
Policy A vs Policy B,success_rate,5,0.875,0.9277,0.0527
Policy A vs Policy B,success_rate,6,0.6625,0.7282,0.0657
Policy A vs Policy B,success_rate,7,0.6875,0.7802,0.0927
Policy A vs Policy B,success_rate,8,0.8375,0.9245,0.087
Policy A vs Policy B,success_rate,9,0.7812,0.8557,0.0745
Policy A vs Policy B,error_rate,1,0.2812,0.1163,-0.1649
Policy A vs Policy B,error_rate,2,0.4875,0.4308,-0.0567
Policy A vs Policy B,error_rate,3,0.5,0.4906,-0.0094
Policy A vs Policy B,error_rate,4,0.0062,0.0,-0.0062
Policy A vs Policy B,error_rate,5,0.125,0.0723,-0.0527
Policy A vs Policy B,error_rate,6,0.3375,0.2718,-0.0657
Policy A vs Policy B,error_rate,7,0.3125,0.2198,-0.0927
Policy A vs Policy B,error_rate,8,0.1625,0.0755,-0.087
Policy A vs Policy B,error_rate,9,0.2188,0.1443,-0.0745
Policy A vs Policy B,coverage,1,1.0,0.5375,-0.4625
Policy A vs Policy B,coverage,2,1.0,0.4062,-0.5938
Policy A vs Policy B,coverage,3,1.0,0.3312,-0.6688
Policy A vs Policy B,coverage,4,1.0,0.9437,-0.0563
Policy A vs Policy B,coverage,5,1.0,0.5188,-0.4812
Policy A vs Policy B,coverage,6,1.0,0.6438,-0.3562
Policy A vs Policy B,coverage,7,1.0,0.5687,-0.4313
Policy A vs Policy B,coverage,8,1.0,0.6625,-0.3375
Policy A vs Policy B,coverage,9,1.0,0.6062,-0.3938
Policy A vs Policy B,abstention_rate,1,0.0,0.4625,0.4625
Policy A vs Policy B,abstention_rate,2,0.0,0.5938,0.5938
Policy A vs Policy B,abstention_rate,3,0.0,0.6687,0.6687
Policy A vs Policy B,abstention_rate,4,0.0,0.0563,0.0563
Policy A vs Policy B,abstention_rate,5,0.0,0.4813,0.4813
Policy A vs Policy B,abstention_rate,6,0.0,0.3563,0.3563
Policy A vs Policy B,abstention_rate,7,0.0,0.4313,0.4313
