policy,subject,n_trials,n_acted,n_abstained,n_correct,n_unsafe,coverage,success_rate,error_rate,abstention_rate,mean_latency_ms
Policy_A_Direct,1,160,160,0,115,45,1.0,0.7188,0.2812,0.0,3.561
Policy_B_ConfidenceGated,1,160,86,74,76,10,0.5375,0.8837,0.1163,0.4625,3.854
Policy_C_SharedControl,1,160,86,74,76,10,0.5375,0.8837,0.1163,0.4625,6.39
Policy_A_Direct,2,160,160,0,82,78,1.0,0.5125,0.4875,0.0,3.243
Policy_B_ConfidenceGated,2,160,65,95,37,28,0.4062,0.5692,0.4308,0.5938,3.633
Policy_C_SharedControl,2,160,65,95,37,28,0.4062,0.5692,0.4308,0.5938,6.189
Policy_A_Direct,3,160,160,0,80,80,1.0,0.5,0.5,0.0,3.294
Policy_B_ConfidenceGated,3,160,53,107,27,26,0.3312,0.5094,0.4906,0.6687,3.751
Policy_C_SharedControl,3,160,53,107,27,26,0.3312,0.5094,0.4906,0.6687,6.301
Policy_A_Direct,4,160,160,0,159,1,1.0,0.9938,0.0062,0.0,2.728
Policy_B_ConfidenceGated,4,160,151,9,151,0,0.9437,1.0,0.0,0.0563,4.697
Policy_C_SharedControl,4,160,151,9,151,0,0.9437,1.0,0.0,0.0563,6.047
Policy_A_Direct,5,160,160,0,140,20,1.0,0.875,0.125,0.0,2.293
Policy_B_ConfidenceGated,5,160,83,77,77,6,0.5188,0.9277,0.0723,0.4813,3.744
Policy_C_SharedControl,5,160,83,77,77,6,0.5188,0.9277,0.0723,0.4813,6.27
Policy_A_Direct,6,160,160,0,106,54,1.0,0.6625,0.3375,0.0,3.165
Policy_B_ConfidenceGated,6,160,103,57,75,28,0.6438,0.7282,0.2718,0.3563,3.447
Policy_C_SharedControl,6,160,103,57,75,28,0.6438,0.7282,0.2718,0.3563,6.372
Policy_A_Direct,7,160,160,0,110,50,1.0,0.6875,0.3125,0.0,3.321
Policy_B_ConfidenceGated,7,160,91,69,71,20,0.5687,0.7802,0.2198,0.4313,3.859
Policy_C_SharedControl,7,160,91,69,71,20,0.5687,0.7802,0.2198,0.4313,6.417
Policy_A_Direct,8,160,160,0,134,26,1.0,0.8375,0.1625,0.0,2.413
Policy_B_ConfidenceGated,8,160,106,54,98,8,0.6625,0.9245,0.0755,0.3375,3.392
Policy_C_SharedControl,8,160,106,54,98,8,0.6625,0.9245,0.0755,0.3375,6.267
Policy_A_Direct,9,160,160,0,125,35,1.0,0.7812,0.2188,0.0,3.158
Policy_B_ConfidenceGated,9,160,97,63,83,14,0.6062,0.8557,0.1443,0.3937,3.838
Policy_C_SharedControl,9,160,97,63,83,14,0.6062,0.8557,0.1443,0.3937,6.226
