policy,subject,n_trials,n_acted,n_abstained,n_correct,n_unsafe,n_retries,coverage,success_rate,error_rate,abstention_rate,mean_latency_ms
Policy_A_Direct,1,160,160,0,115,45,0,1.0,0.7188,0.2812,0.0,3.354
Policy_B_ConfidenceGated,1,160,25,135,21,4,25,0.1562,0.84,0.16,0.8438,2.23
Policy_C_SharedControl,1,160,25,135,21,4,25,0.1562,0.84,0.16,0.8438,5.278
Policy_A_Direct,2,160,160,0,82,78,0,1.0,0.5125,0.4875,0.0,3.028
Policy_B_ConfidenceGated,2,160,14,146,8,6,14,0.0875,0.5714,0.4286,0.9125,2.307
Policy_C_SharedControl,2,160,14,146,8,6,14,0.0875,0.5714,0.4286,0.9125,4.678
Policy_A_Direct,3,160,160,0,80,80,0,1.0,0.5,0.5,0.0,3.015
Policy_B_ConfidenceGated,3,160,9,151,2,7,9,0.0563,0.2222,0.7778,0.9437,2.254
Policy_C_SharedControl,3,160,9,151,2,7,9,0.0563,0.2222,0.7778,0.9437,4.511
Policy_A_Direct,4,160,160,0,159,1,0,1.0,0.9938,0.0062,0.0,2.161
Policy_B_ConfidenceGated,4,160,52,108,52,0,52,0.325,1.0,0.0,0.675,2.169
Policy_C_SharedControl,4,160,52,108,52,0,52,0.325,1.0,0.0,0.675,4.498
Policy_A_Direct,5,160,160,0,140,20,0,1.0,0.875,0.125,0.0,2.124
Policy_B_ConfidenceGated,5,160,10,150,9,1,10,0.0625,0.9,0.1,0.9375,2.274
Policy_C_SharedControl,5,160,10,150,9,1,10,0.0625,0.9,0.1,0.9375,4.684
Policy_A_Direct,6,160,160,0,106,54,0,1.0,0.6625,0.3375,0.0,3.034
Policy_B_ConfidenceGated,6,160,35,125,25,10,35,0.2188,0.7143,0.2857,0.7812,2.272
Policy_C_SharedControl,6,160,35,125,25,10,35,0.2188,0.7143,0.2857,0.7812,4.602
Policy_A_Direct,7,160,160,0,110,50,0,1.0,0.6875,0.3125,0.0,3.017
Policy_B_ConfidenceGated,7,160,28,132,21,7,28,0.175,0.75,0.25,0.825,2.274
Policy_C_SharedControl,7,160,28,132,21,7,28,0.175,0.75,0.25,0.825,4.8
Policy_A_Direct,8,160,160,0,134,26,0,1.0,0.8375,0.1625,0.0,2.412
Policy_B_ConfidenceGated,8,160,21,139,20,1,21,0.1313,0.9524,0.0476,0.8688,2.079
Policy_C_SharedControl,8,160,21,139,20,1,21,0.1313,0.9524,0.0476,0.8688,4.775
Policy_A_Direct,9,160,160,0,125,35,0,1.0,0.7812,0.2188,0.0,2.982
Policy_B_ConfidenceGated,9,160,28,132,22,6,28,0.175,0.7857,0.2143,0.825,2.257
Policy_C_SharedControl,9,160,28,132,22,6,28,0.175,0.7857,0.2143,0.825,4.577
