policy,subject,trial,true_label,decoded,confidence,abstained,correct,unsafe_action,intent,latency_ms,trial_duration_s
Policy_A_Direct,1,1,1,1,0.7908,False,True,False,CLASS_1,197.676,4.5
Policy_A_Direct,1,2,0,0,0.9728,False,True,False,CLASS_0,2.004,4.5
Policy_A_Direct,1,3,1,1,0.6677,False,True,False,CLASS_1,1.766,4.5
Policy_A_Direct,1,4,0,0,0.953,False,True,False,CLASS_0,1.639,4.5
Policy_A_Direct,1,5,0,0,0.6687,False,True,False,CLASS_0,2.186,4.5
Policy_A_Direct,1,6,0,1,0.73,False,False,True,CLASS_1,1.654,4.5
Policy_A_Direct,1,7,1,0,0.517,False,False,True,CLASS_0,1.622,4.5
Policy_A_Direct,1,8,0,1,0.6927,False,False,True,CLASS_1,1.597,4.5
Policy_A_Direct,1,9,0,1,0.7141,False,False,True,CLASS_1,2.219,4.5
Policy_A_Direct,1,10,0,0,0.7863,False,True,False,CLASS_0,1.701,4.5
Policy_A_Direct,1,11,1,1,0.9653,False,True,False,CLASS_1,1.796,4.5
Policy_A_Direct,1,12,0,1,0.9406,False,False,True,CLASS_1,1.669,4.5
Policy_A_Direct,1,13,1,1,0.9663,False,True,False,CLASS_1,1.668,4.5
Policy_A_Direct,1,14,0,0,0.669,False,True,False,CLASS_0,1.97,4.5
Policy_A_Direct,1,15,1,1,0.9188,False,True,False,CLASS_1,1.67,4.5
Policy_A_Direct,1,16,0,0,0.9964,False,True,False,CLASS_0,1.644,4.5
Policy_A_Direct,1,17,0,0,0.879,False,True,False,CLASS_0,1.64,4.5
Policy_A_Direct,1,18,0,0,0.7073,False,True,False,CLASS_0,1.664,4.5
Policy_A_Direct,1,19,0,1,0.8996,False,False,True,CLASS_1,1.698,4.5
Policy_A_Direct,1,20,0,0,0.9215,False,True,False,CLASS_0,1.69,4.5
Policy_A_Direct,1,21,1,1,0.8967,False,True,False,CLASS_1,1.682,4.5
Policy_A_Direct,1,22,1,1,0.9868,False,True,False,CLASS_1,1.711,4.5
Policy_A_Direct,1,23,1,1,0.8605,False,True,False,CLASS_1,1.618,4.5
Policy_A_Direct,1,24,0,1,0.8295,False,False,True,CLASS_1,2.312,4.5
Policy_A_Direct,1,25,1,1,0.9796,False,True,False,CLASS_1,1.711,4.5
Policy_A_Direct,1,26,1,1,0.9274,False,True,False,CLASS_1,1.695,4.5
Policy_A_Direct,1,27,1,1,0.8481,False,True,False,CLASS_1,1.616,4.5
Policy_A_Direct,1,28,1,1,0.9872,False,True,False,CLASS_1,1.664,4.5
Policy_A_Direct,1,29,0,0,0.8687,False,True,False,CLASS_0,1.675,4.5
Policy_A_Direct,1,30,1,0,0.8832,False,False,True,CLASS_0,1.677,4.5
Policy_A_Direct,1,31,1,1,0.9461,False,True,False,CLASS_1,1.645,4.5
Policy_A_Direct,1,32,1,1,0.8058,False,True,False,CLASS_1,1.66,4.5
Policy_A_Direct,1,33,0,0,0.9428,False,True,False,CLASS_0,1.682,4.5
Policy_A_Direct,1,34,0,0,0.9307,False,True,False,CLASS_0,1.813,4.5
Policy_A_Direct,1,35,1,1,0.9726,False,True,False,CLASS_1,1.806,4.5
Policy_A_Direct,1,36,1,1,0.9138,False,True,False,CLASS_1,1.765,4.5
Policy_A_Direct,1,37,0,0,0.6187,False,True,False,CLASS_0,1.787,4.5
Policy_A_Direct,1,38,1,1,0.8927,False,True,False,CLASS_1,1.79,4.5
Policy_A_Direct,1,39,0,0,0.5685,False,True,False,CLASS_0,1.8,4.5
Policy_A_Direct,1,40,1,1,0.9939,False,True,False,CLASS_1,1.788,4.5
Policy_A_Direct,1,41,1,1,0.9338,False,True,False,CLASS_1,1.758,4.5
Policy_A_Direct,1,42,0,1,0.9509,False,False,True,CLASS_1,1.769,4.5
Policy_A_Direct,1,43,0,1,0.6216,False,False,True,CLASS_1,1.864,4.5
Policy_A_Direct,1,44,1,0,0.7745,False,False,True,CLASS_0,1.818,4.5
Policy_A_Direct,1,45,0,1,0.6381,False,False,True,CLASS_1,1.794,4.5
Policy_A_Direct,1,46,0,0,0.6173,False,True,False,CLASS_0,1.816,4.5
Policy_A_Direct,1,47,0,0,0.6234,False,True,False,CLASS_0,1.812,4.5
Policy_A_Direct,1,48,1,1,0.8235,False,True,False,CLASS_1,1.83,4.5
Policy_A_Direct,1,49,0,1,0.7478,False,False,True,CLASS_1,1.819,4.5
Policy_A_Direct,1,50,0,0,0.9733,False,True,False,CLASS_0,1.832,4.5
