seed,model,split,subject,accuracy,f1
3,EEGNet,within,1,0.48125,0.6375545851528385
3,EEGNet,within,2,0.46875,0.34108527131782945
3,EEGNet,within,3,0.54375,0.5228758169934641
3,EEGNet,within,4,0.93125,0.9290322580645162
3,EEGNet,within,5,0.4625,0.2711864406779661
3,EEGNet,within,6,0.55625,0.6787330316742082
3,EEGNet,within,7,0.65625,0.5045045045045045
3,EEGNet,within,8,0.7875,0.7571428571428571
3,EEGNet,within,9,0.6375,0.7156862745098039
3,EEGNet,cross,1,0.7125,0.7444444444444445
3,EEGNet,cross,2,0.6125,0.6395348837209303
3,EEGNet,cross,3,0.46875,0.5933014354066986
3,EEGNet,cross,4,0.94375,0.9403973509933775
3,EEGNet,cross,5,0.81875,0.8379888268156425
3,EEGNet,cross,6,0.65625,0.5299145299145299
3,EEGNet,cross,7,0.84375,0.8538011695906432
3,EEGNet,cross,8,0.825,0.8494623655913979
3,EEGNet,cross,9,0.8,0.8315789473684211
3,ShallowConvNet,within,1,0.7125,0.6933333333333334
3,ShallowConvNet,within,2,0.49375,0.40875912408759124
3,ShallowConvNet,within,3,0.50625,0.5433526011560693
3,ShallowConvNet,within,4,0.94375,0.9461077844311377
3,ShallowConvNet,within,5,0.80625,0.8
3,ShallowConvNet,within,6,0.6875,0.7311827956989247
3,ShallowConvNet,within,7,0.69375,0.6259541984732825
3,ShallowConvNet,within,8,0.76875,0.7643312101910829
3,ShallowConvNet,within,9,0.80625,0.8228571428571428
3,ShallowConvNet,cross,1,0.6625,0.7127659574468085
3,ShallowConvNet,cross,2,0.56875,0.6270270270270271
3,ShallowConvNet,cross,3,0.5125,0.6060606060606061
3,ShallowConvNet,cross,4,0.95,0.9473684210526315
3,ShallowConvNet,cross,5,0.78125,0.75177304964539
3,ShallowConvNet,cross,6,0.6625,0.7157894736842105
3,ShallowConvNet,cross,7,0.7875,0.7702702702702703
3,ShallowConvNet,cross,8,0.8125,0.8421052631578947
3,ShallowConvNet,cross,9,0.775,0.7352941176470589
