threshold,coverage,error_rate,n_acted,n_abstained
0.5,1.0,0.2833,480,0
0.51,0.9896,0.28,475,5
0.52,0.9708,0.2811,466,14
0.53,0.9563,0.2767,459,21
0.54,0.9458,0.2753,454,26
0.55,0.9271,0.2742,445,35
0.56,0.9062,0.2736,435,45
0.57,0.8917,0.2664,428,52
0.58,0.8812,0.2624,423,57
0.59,0.8688,0.2566,417,63
0.6,0.8604,0.2518,413,67
0.61,0.8521,0.2494,409,71
0.62,0.8292,0.2387,398,82
0.63,0.8104,0.2314,389,91
0.64,0.7896,0.2216,379,101
0.65,0.7667,0.2092,368,112
0.66,0.7583,0.206,364,116
0.67,0.7292,0.1971,350,130
0.68,0.7083,0.1882,340,140
0.69,0.6937,0.1832,333,147
0.7,0.675,0.1698,324,156
0.71,0.6646,0.1599,319,161
0.72,0.6521,0.1502,313,167
0.73,0.6417,0.1494,308,172
0.74,0.6271,0.1362,301,179
0.75,0.5896,0.1307,283,197
0.76,0.5708,0.1277,274,206
0.77,0.5583,0.1231,268,212
0.78,0.5417,0.1154,260,220
0.79,0.525,0.1151,252,228
0.8,0.4979,0.113,239,241
0.81,0.4646,0.1031,223,257
0.82,0.4396,0.0995,211,269
0.83,0.4146,0.0905,199,281
0.84,0.3917,0.0904,188,292
0.85,0.3729,0.0894,179,301
0.86,0.3563,0.0877,171,309
0.87,0.3354,0.0932,161,319
0.88,0.3187,0.085,153,327
0.89,0.3104,0.0872,149,331
0.9,0.2958,0.0915,142,338
0.91,0.2812,0.0963,135,345
0.92,0.2604,0.104,125,355
0.93,0.25,0.1083,120,360
0.94,0.2375,0.1053,114,366
0.95,0.2313,0.1081,111,369
