threshold,coverage,error_rate,n_acted,n_abstained
0.5,1.0,0.2312,480,0
0.51,0.9896,0.2337,475,5
0.52,0.9771,0.2303,469,11
0.53,0.9688,0.228,465,15
0.54,0.9563,0.2244,459,21
0.55,0.9542,0.2227,458,22
0.56,0.9479,0.2176,455,25
0.57,0.9375,0.2133,450,30
0.58,0.9292,0.2108,446,34
0.59,0.9187,0.2109,441,39
0.6,0.9146,0.2096,439,41
0.61,0.9042,0.2097,434,46
0.62,0.8938,0.2098,429,51
0.63,0.8792,0.2038,422,58
0.64,0.8729,0.2005,419,61
0.65,0.8625,0.1981,414,66
0.66,0.8479,0.1941,407,73
0.67,0.8417,0.1955,404,76
0.68,0.8354,0.1945,401,79
0.69,0.8292,0.191,398,82
0.7,0.8167,0.1862,392,88
0.71,0.8,0.1797,384,96
0.72,0.7792,0.1738,374,106
0.73,0.7708,0.173,370,110
0.74,0.7604,0.1726,365,115
0.75,0.7438,0.1709,357,123
0.76,0.7292,0.1657,350,130
0.77,0.7188,0.1652,345,135
0.78,0.7,0.1577,336,144
0.79,0.6875,0.1576,330,150
0.8,0.6833,0.1585,328,152
0.81,0.6583,0.1519,316,164
0.82,0.6271,0.1462,301,179
0.83,0.6125,0.1429,294,186
0.84,0.5938,0.1298,285,195
0.85,0.5771,0.13,277,203
0.86,0.5604,0.1264,269,211
0.87,0.5458,0.1183,262,218
0.88,0.5375,0.1163,258,222
0.89,0.5188,0.0964,249,231
0.9,0.5,0.1,240,240
0.91,0.475,0.0921,228,252
0.92,0.4458,0.0888,214,266
0.93,0.4125,0.0758,198,282
0.94,0.375,0.0667,180,300
0.95,0.3333,0.0687,160,320
0.96,0.2708,0.0615,130,350
0.97,0.2208,0.0566,106,374
0.98,0.1625,0.0256,78,402
