model,split,subject,accuracy,f1
Transformer,within,1,0.7125,0.684931506849315
Transformer,within,2,0.575,0.41379310344827586
Transformer,within,3,0.45,0.3333333333333333
Transformer,within,4,0.8690476190476191,0.8674698795180723
Transformer,within,5,0.5952380952380952,0.5277777777777778
Transformer,within,6,0.6875,0.6987951807228916
Transformer,within,7,0.625,0.6666666666666666
Transformer,within,8,0.75,0.7608695652173914
Transformer,within,9,0.7,0.6571428571428571
Transformer,cross,1,0.5925,0.6433260393873085
Transformer,cross,2,0.535,0.6042553191489362
Transformer,cross,3,0.53,0.5948275862068966
Transformer,cross,4,0.669047619047619,0.5255972696245734
Transformer,cross,5,0.611904761904762,0.6385809312638581
Transformer,cross,6,0.605,0.5297619047619048
Transformer,cross,7,0.6175,0.6450116009280742
Transformer,cross,8,0.5590909090909091,0.6711864406779661
Transformer,cross,9,0.615,0.5860215053763441
