policy,subject,trial,t_ref_ms,event_type,decoded_class,confidence,intent,correct,unsafe,note
Policy_A_Direct,1,1,0.0,WINDOW,1,0.7908,,,,"EEG epoch received — trial 1, subject 1"
Policy_A_Direct,1,1,0.1,INFERENCE,1,0.7908,,,,"Decoder output: class=1, conf=0.791, latency=197.68ms"
Policy_A_Direct,1,1,197.676,ACCEPTED,1,0.7908,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.791, correct=True, unsafe=False)"
Policy_A_Direct,1,2,4500.0,WINDOW,0,0.9728,,,,"EEG epoch received — trial 2, subject 1"
Policy_A_Direct,1,2,4500.1,INFERENCE,0,0.9728,,,,"Decoder output: class=0, conf=0.973, latency=2.00ms"
Policy_A_Direct,1,2,4502.004,ACCEPTED,0,0.9728,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.973, correct=True, unsafe=False)"
Policy_A_Direct,1,3,9000.0,WINDOW,1,0.6677,,,,"EEG epoch received — trial 3, subject 1"
Policy_A_Direct,1,3,9000.1,INFERENCE,1,0.6677,,,,"Decoder output: class=1, conf=0.668, latency=1.77ms"
Policy_A_Direct,1,3,9001.766,ACCEPTED,1,0.6677,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.668, correct=True, unsafe=False)"
Policy_A_Direct,1,4,13500.0,WINDOW,0,0.953,,,,"EEG epoch received — trial 4, subject 1"
Policy_A_Direct,1,4,13500.1,INFERENCE,0,0.953,,,,"Decoder output: class=0, conf=0.953, latency=1.64ms"
Policy_A_Direct,1,4,13501.639,ACCEPTED,0,0.953,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.953, correct=True, unsafe=False)"
Policy_A_Direct,1,5,18000.0,WINDOW,0,0.6687,,,,"EEG epoch received — trial 5, subject 1"
Policy_A_Direct,1,5,18000.1,INFERENCE,0,0.6687,,,,"Decoder output: class=0, conf=0.669, latency=2.19ms"
Policy_A_Direct,1,5,18002.186,ACCEPTED,0,0.6687,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.669, correct=True, unsafe=False)"
Policy_A_Direct,1,6,22500.0,WINDOW,1,0.73,,,,"EEG epoch received — trial 6, subject 1"
Policy_A_Direct,1,6,22500.1,INFERENCE,1,0.73,,,,"Decoder output: class=1, conf=0.730, latency=1.65ms"
Policy_A_Direct,1,6,22501.654,ACCEPTED,1,0.73,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.730, correct=False, unsafe=True)"
Policy_A_Direct,1,7,27000.0,WINDOW,0,0.517,,,,"EEG epoch received — trial 7, subject 1"
Policy_A_Direct,1,7,27000.1,INFERENCE,0,0.517,,,,"Decoder output: class=0, conf=0.517, latency=1.62ms"
Policy_A_Direct,1,7,27001.622,ACCEPTED,0,0.517,CLASS_0,False,True,"Confirmed command issued: CLASS_0 (conf=0.517, correct=False, unsafe=True)"
Policy_A_Direct,1,8,31500.0,WINDOW,1,0.6927,,,,"EEG epoch received — trial 8, subject 1"
Policy_A_Direct,1,8,31500.1,INFERENCE,1,0.6927,,,,"Decoder output: class=1, conf=0.693, latency=1.60ms"
Policy_A_Direct,1,8,31501.597,ACCEPTED,1,0.6927,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.693, correct=False, unsafe=True)"
Policy_A_Direct,1,9,36000.0,WINDOW,1,0.7141,,,,"EEG epoch received — trial 9, subject 1"
Policy_A_Direct,1,9,36000.1,INFERENCE,1,0.7141,,,,"Decoder output: class=1, conf=0.714, latency=2.22ms"
Policy_A_Direct,1,9,36002.219,ACCEPTED,1,0.7141,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.714, correct=False, unsafe=True)"
Policy_A_Direct,1,10,40500.0,WINDOW,0,0.7863,,,,"EEG epoch received — trial 10, subject 1"
Policy_A_Direct,1,10,40500.1,INFERENCE,0,0.7863,,,,"Decoder output: class=0, conf=0.786, latency=1.70ms"
Policy_A_Direct,1,10,40501.701,ACCEPTED,0,0.7863,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.786, correct=True, unsafe=False)"
Policy_A_Direct,1,11,45000.0,WINDOW,1,0.9653,,,,"EEG epoch received — trial 11, subject 1"
Policy_A_Direct,1,11,45000.1,INFERENCE,1,0.9653,,,,"Decoder output: class=1, conf=0.965, latency=1.80ms"
Policy_A_Direct,1,11,45001.796,ACCEPTED,1,0.9653,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.965, correct=True, unsafe=False)"
Policy_A_Direct,1,12,49500.0,WINDOW,1,0.9406,,,,"EEG epoch received — trial 12, subject 1"
Policy_A_Direct,1,12,49500.1,INFERENCE,1,0.9406,,,,"Decoder output: class=1, conf=0.941, latency=1.67ms"
Policy_A_Direct,1,12,49501.669,ACCEPTED,1,0.9406,CLASS_1,False,True,"Confirmed command issued: CLASS_1 (conf=0.941, correct=False, unsafe=True)"
Policy_A_Direct,1,13,54000.0,WINDOW,1,0.9663,,,,"EEG epoch received — trial 13, subject 1"
Policy_A_Direct,1,13,54000.1,INFERENCE,1,0.9663,,,,"Decoder output: class=1, conf=0.966, latency=1.67ms"
Policy_A_Direct,1,13,54001.668,ACCEPTED,1,0.9663,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.966, correct=True, unsafe=False)"
Policy_A_Direct,1,14,58500.0,WINDOW,0,0.669,,,,"EEG epoch received — trial 14, subject 1"
Policy_A_Direct,1,14,58500.1,INFERENCE,0,0.669,,,,"Decoder output: class=0, conf=0.669, latency=1.97ms"
Policy_A_Direct,1,14,58501.97,ACCEPTED,0,0.669,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.669, correct=True, unsafe=False)"
Policy_A_Direct,1,15,63000.0,WINDOW,1,0.9188,,,,"EEG epoch received — trial 15, subject 1"
Policy_A_Direct,1,15,63000.1,INFERENCE,1,0.9188,,,,"Decoder output: class=1, conf=0.919, latency=1.67ms"
Policy_A_Direct,1,15,63001.67,ACCEPTED,1,0.9188,CLASS_1,True,False,"Confirmed command issued: CLASS_1 (conf=0.919, correct=True, unsafe=False)"
Policy_A_Direct,1,16,67500.0,WINDOW,0,0.9964,,,,"EEG epoch received — trial 16, subject 1"
Policy_A_Direct,1,16,67500.1,INFERENCE,0,0.9964,,,,"Decoder output: class=0, conf=0.996, latency=1.64ms"
Policy_A_Direct,1,16,67501.644,ACCEPTED,0,0.9964,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.996, correct=True, unsafe=False)"
Policy_A_Direct,1,17,72000.0,WINDOW,0,0.879,,,,"EEG epoch received — trial 17, subject 1"
Policy_A_Direct,1,17,72000.1,INFERENCE,0,0.879,,,,"Decoder output: class=0, conf=0.879, latency=1.64ms"
Policy_A_Direct,1,17,72001.64,ACCEPTED,0,0.879,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.879, correct=True, unsafe=False)"
Policy_A_Direct,1,18,76500.0,WINDOW,0,0.7073,,,,"EEG epoch received — trial 18, subject 1"
Policy_A_Direct,1,18,76500.1,INFERENCE,0,0.7073,,,,"Decoder output: class=0, conf=0.707, latency=1.66ms"
Policy_A_Direct,1,18,76501.664,ACCEPTED,0,0.7073,CLASS_0,True,False,"Confirmed command issued: CLASS_0 (conf=0.707, correct=True, unsafe=False)"
